Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30,,Taste From Home,,Chicken,,,12/8/2018,28/12/2018
Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,22/2/2019
Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/WN9ad_N3P0fVPc0nxwOtwA/nXe5GtqoZ6cvdBphWLjiSz_jOyzf0D35iTPtmCQe_mcMjM0ARRgUhR6k_Ny--FKkyC6N32SWSi71K9mqgxzo2g/csIAsLAQdF_nvetzopjD19wlZLKY72puBnL5FKBP8oU),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/8383f2uvz3IM9Jy3w_Ufqg/TPMKFnUHx30kcbhzxo0NRiGOwZTOl0yWVxqX2tq3f_3gbjNCVbTjpsBbK0fVkPxhQIsd1QmXcZBgEDp0U2w5xQ/00eR3rbwovridMlrqcgTAd0QszMbc-dqQOW8SKP_7zg),Taste of Home,287,Vegetarian,,,11/18/2018,18/12/2018
Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/D2yoFWZy3GS5n3TccMB4MA/_WaRdA3tigw8MDl1RS7ozjni5AL9FbqwLQE54ER6zIe9yWDLXg4HR5Q160kN0-6Fny3WydzohNFTxjC7kqHYUA/M5EG6PZe306P4GycrlwqSdfhSfqpwvkiU1pb0mSKNoA),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,9/7/2017
"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/E6ioA2DKGtlShWnOMxBg_g/QiWOiMMIte71BfJz-yGezAm1eSw6ZxRN83e8HC7wY8hPySlA099MY-i0N8RcCUOPcapxqFAzZAA0aYumbmk27A/wvpwSBtDqzUZ1IyR4o7LLEv2BRGGEUgZd_Kvzif29B0),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,23/2/2019
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,24/6/2018
Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/rRgRbsJ7uiB8Q67sXE8Ppg/uFqf5-PIn0B44zb8e97cusNa_kArMteCNMDUod3LR-1iZMNpcDX7XYMjILr0vgO4U1-ow9Lk_6S2Ns4SK1F5GA/YS3k9ORVxH7JJ5GxP6oR6VcP1VspJo40zA5SKQzzzHo),"Pinterest,Taste of Home",,,,,5/13/2017,2/6/2017
Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/raTc8zvGCqBRjbbnYqMQGA/CWEDMIcBQBj0bLomjDFkXoysQDywErl9AXvvL54iCKpkF9u8fnr1MwPl3stEJwc2LIdmIjv96KLISP5Wk1_gMg/MMcxrLTIy_Z4UVo-HS5IiGg2qbQ6I6ekfAQ6-F873nc),Taste From Home,,"Sausage,Cheese",,,5/5/2017,25/5/2017
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25,,Taste of Home,4,"Chicken,Rice",,,2/5/2019,25/2/2019
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30,,Taste of Home,62,"Sausage,Noodles,Cheese",,,6/18/2017,18/7/2017
Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90,,Taste of Home,110,"Beef,Noodles,Eggs",,,,#ERROR
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,,Main Dish,25,,Taste of Home,114,Beef,,,6/12/2017,12/7/2017
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/SJjF7bCbBKxlUGjAletR8w/G6rpskKlJeTc4ZdHzn7b6yLa574Q7CxPhTkJdg9VqGn-XI9EJNYM4hCb-DHOhWKfVlClsbYFRYKtFufkg-jSBg/L_UiQKtcPMIEnvh81x9-a1WW0LeWjKkllAMNBr1wwJg),Taste of Home,115,"Beef,Rice,Beans",,,7/29/2018,18/8/2018
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,,Main Dish,45,,Taste of Home,129,Pork,,,,#ERROR
Fried Rice,⭐⭐⭐⭐,Super Simple,,Main Dish,20,,Taste of Home,135,"Chicken,Eggs,Rice",,https://www.tasteofhome.com/recipes/mom-s-fried-rice,1/24/2019,23/2/2019
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,45,,Taste of Home,141,"Sausage,Beans,Rice",checked,,6/16/2017,6/7/2017
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,146,"Noodles,Ham",,,,#ERROR
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,,Main Dish,20,,Taste of Home,175,"Noodles,Chicken",,,,#ERROR
Herb Chicken with Honey Butter,⭐⭐⭐,Average,,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/VpaSkX_xqiraxRYSsSuQVg/Gemq3KdHhvf7srA1wcNz628KXvUGjemDkzImLvlu5ydHUzzJ0Kn6EK1JSnHwAv0_Bw7GlrcJrnscgiGO1abYLg/aCSNmgkNRAMIRK0XbbSvIepK2uE4WDJFTtOZMv5EyoE),Taste of Home,176,Chicken,,,5/23/2017,9/7/2017
French Toast,⭐⭐⭐⭐,Super Simple,,Breakfast,10,,Taste of Home,245,Eggs,,,,#ERROR
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,,Breakfast,20,,Taste of Home,245,"Milk,Eggs",,,,#ERROR
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Add bacon,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/WWwaJ-ZMBHNo0UmUODyc1A/zuYVIo1VfaWnemirpOR_kx1lawhK5zyKob4FYTq9Vg6rZm0Qndgi0DeFmf6SO0chzo1P6x76PHp9cPaSWOuNwQ/85WF3Wgdja5ipsTz_zH4g-ObzndjB3f2b1wkFVOmLL0),Taste of Home,277,"Potatoes,Bacon,Cheese,Eggs",,,11/24/2018,14/12/2018
Baked Mostaccioli,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,90,,Taste of Home,284,"Noodles,Marinara Sauce,Cheese,Sausage",,,,#ERROR
Ravioli with Snap Peas,⭐⭐⭐⭐,Hard,,Main Dish,40,,Taste of Home,286,"Noodles,Milk,Cheese",,,7/23/2018,22/8/2018
Cloverleaf Rolls,⭐⭐⭐,Fairly Easy,,Side Dish,30,,Taste From Home,,Milk,,,,#ERROR
Greek Yogurt and Honey Blueberry Muffins,⭐⭐⭐⭐,Average,,Breakfast,30,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Whole Grain Waffles,⭐⭐⭐⭐⭐,Super Simple,,Breakfast,25,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Lemon Bars,⭐⭐⭐,Fairly Easy,,Dessert,60,,Taste From Home,,,,,,#ERROR
Qahaq Cookies,⭐⭐,Average,,Dessert,30,,Taste From Home,,,,,,#ERROR
Blondies with Nutella,⭐⭐,Hard,,Dessert,90,,Taste From Home,,,,,,#ERROR
Hot Chocolate,⭐⭐⭐⭐⭐,Super Simple,,Dessert,10,,Taste From Home,,Milk,,,,#ERROR
Chocolate Mousse,⭐⭐⭐⭐,Hard,Whisk on stove until thick,Dessert,30,Image 23 June 2017 10:40 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/KqVuoxusntHRa4cx8TG05Q/MVDbcOinxGRcQCxUrctqdacb3d_K829lOmTqMY7YQIPA9KOWkJzIjVgobUqxReBPqLAZIvrE_pTjzhBHZ2baXw/m9pVVT5vwC1RDqsm44uP32exeoCp7ltlBEUKP-DIrRE),Taste From Home,,Eggs,,,,#ERROR
S'mores Cookie Bars,⭐⭐⭐⭐,Hard,,Dessert,45,,Taste From Home,,,,,,#ERROR
Orange Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Tostadas,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Chicken,Cheese",,,,#ERROR
Black Bean Stuffed Sweet Potatoes,⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,"Beans,Cheese",,,,#ERROR
Asian Shredded Beef,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 23 June 2017 11:19 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/QOZR2Ti4Km4gCXMkihcZBA/cnjroCSQ66oRytVerX2WaDyaqV1PjiyE_EfsL2ZwSZoIqWoxua3D-8U47puCXP2p6aYO2SQzfvlX1BILJul76A/akzNaOY7MEBW5ev_s7we8pI1LzZoYbhS9vWf7aIaNi0),Taste From Home,,"Beef,Noodles",checked,,,#ERROR
"Capellini with sausage, spinach, and jalapeno",⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Sausage,Noodles",,,10/8/2018,7/11/2018
Crispy Chicken with Kale,⭐⭐,Fairly Easy,,Main Dish,45,,Taste From Home,,Chicken,,,,#ERROR
Roast Chicken Grain Bowl,⭐,Average,,Main Dish,60,,Taste From Home,,Chicken,,,,#ERROR
Chicken thighs with barley and peas,⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Chicken,,,12/27/2018,27/2/2019
Rice noodles with meatballs and bok choy,⭐⭐⭐⭐,Hard,,Main Dish,45,,Taste From Home,,"Beef,Noodles",,,,#ERROR
Paprika Pork with Roasted Potatoes and Dill Cream,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,"Pork,Potatoes",,,,#ERROR
Chicken cutlets with carrot and kale salad,⭐⭐⭐,Average,,Main Dish,30,,Taste From Home,,Chicken,,,,#ERROR
Gnocchi and sweet potatoes,⭐⭐⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,,,,,#ERROR
Shepherd's Pie,⭐⭐⭐⭐,Hard,,Main Dish,60,,Taste From Home,,"Beef,Potatoes",,,,#ERROR
Garlic Parmesan Chicken,⭐⭐,Super Simple,,Main Dish,45,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Turkey Pot Pie,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Turkey,,,,#ERROR
Balsamic Bacon Brussels Sprouts,⭐⭐⭐,Fairly Easy,,Side Dish,40,,Taste From Home,,Bacon,,,11/10/2018,27/12/2018
Lemon Red Potatoes,⭐⭐,Super Simple,,Side Dish,150,,Taste From Home,,Potatoes,,,,#ERROR
Potato and Corn Chowder,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Potatoes,Milk,Cheese",,,,#ERROR
Thai Chicken,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 22 May 2017 06:55 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/GOOtJVS7YAlcb3sU0B4XrQ/IheVxzGptSM7o6ri8sq2caVObGSe0qhnuXTYiNQWEXMKnq-jm3rTz7cWmfYD_B0JrL47YYE17Wi8mbDLO4AaAQ/Z05RIiabqUsWHLbZG1E7NqtgoEdcE_0c6jm-d5f9rjU),,,"Chicken,Noodles,Eggs",,,5/22/2017,11/6/2017
Italian Fagoli Vegetable Soup,⭐⭐⭐⭐,Fairly Easy,I added pasta to make it heartier,Main Dish,45,Image 30 May 2017 05:01 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/h9fZAEIvOwnMOhOUIG2A4g/tfYbNejktQpStarhIo3s6O5MThFyJYvFrjHgo5JL5zCggFQ0baTFE1AR_9D3kZkZWdfH_1CrHR_9pcaRFbdBlQ/IXCxSATCmg8OZ3THDHD_ad0gtZusXy3HWYpsnHgYtUc),Taste From Home,,"Vegetarian,Beans,Noodles",,,5/30/2017,29/6/2017
Blueberry Pie,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,120,Image 23 June 2017 10:41 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/-zMSmcjH5VEJOL7n7wqX7A/_--LsBQTaqJe5F6is1PPMFqvhhaEpjtQObFM1AuBp3WCGqu7Zt7G710wspf8x6ZXye6xUE6AbNuAy8WJgFsagA/PCy-MRCBvPvGeILT9VghtZjy7YGp9DVGH4bHOO2TKIM),,,,,,6/19/2017,9/7/2017
Chocolate Pudding,⭐⭐⭐⭐,Fairly Easy,,Dessert,30,,,,,,,6/21/2017,21/7/2017
Browned Butter Beets,⭐⭐⭐⭐⭐,Hard,Roast longer than you think,Side Dish,120,Image 23 June 2017 10:46 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/d3xI2IArOBYbZ-9mVqgBSQ/hV7lo6teZ9_-E6U5RtKELpah3vzyywMCq2nDcX6C6WMQFl9_XpZN1tOqYfkV7M2zApQDVlS-2yzg-bq0wJ5AdQ/YwTIqkJYLPFtycWZKv3ifa5GfpnSis5ctn8xo89xr28),Taste From Home,,"Beets,Breadcrumbs",,,6/4/2017,24/6/2017
Turkey Soup with Homemade Noodles,⭐⭐⭐⭐,Average,,Main Dish,120,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/RvTHPNl9RqmBlJiSCEY19w/lnpX6p_Xc38nbS3eBn3HPONoJ3KEKr47Es5LwE2sedFuqCNNC7VBDE_LJ1c90clQ5VOuBihRMPjzfsfoUikCOA/yzZCZ-jWccnO0gdAse9MlDS9d2vXdUJhjJREFZER1lY),,,"Turkey,Noodles",,,11/17/2016,17/12/2016
Home fries,⭐⭐⭐⭐⭐,Super Simple,,Side Dish,45,Image 23 June 2017 11:27 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/I2NEbF9UL8_Easu4qW5u6w/n4PgYzu3-gqXsyLYhmex2L12OLn2lNFZ5TqCf_w2LfUj3fs62cMAkDP-eStq9zWKKM6O4F0IDVirRSWVOj9adw/RKxpihxPv4SeSJxqZq4RzAAvPZ7RpRIzhJb_PLxektY),,,Potatoes,,,,#ERROR
Chocolate Raspberry Torte,⭐⭐⭐⭐⭐,Hard,So good,Dessert,60,Image 23 June 2017 11:28 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/lOoH3hf4t4Fvd78laoNH1g/EoJzLg49db5tSvJflaayXP7yKe7pOmxGNkcGwVDHOHxBC1rmravkvu6Z_FNucKZeCQML32FxsUFa2wuqx91DkQ/H80oJZOGnQi_1k5uqQB10KYuq6ZfyCrsBe9z_gzy53U),,,"Eggs,Milk",,,10/11/2016,31/10/2016
Golden Latte,⭐⭐⭐⭐⭐,Super Simple,,Drink,20,Image 23 June 2017 11:31 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/isufPl8jCRz_h60guSTfeg/FwZAnai5ftfhim0E9eIDSksuVZcOdhc0wAvQicAV2WiRdDR45xpp81eJJ5XDn-fLriSXUcTdIIYT-jr3q2yn_g/y9uNqgvKmrITMITdSkRjGNrrtkPDqBfIVSxS5fEUuPg),Taste of Home,,Milk,,,,#ERROR
Fig Shake,⭐⭐⭐⭐,Fairly Easy,,Drink,10,Image 25 June 2017 10:12 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/vgpSbLRKn-4u5lQCKmVCBQ/mkAAp8BQi7umc9qxaJttFLZoNtU5g4JHHyIJihD-rDAmrHm991j8K_5qPtODsLXmUSyoH757gOGUjuKJP85HXA/WsryZ3J4VXyZtBNa6ALOrxZcTfGEQvS97ByF8mNJ1f8),,,Milk,,,,#ERROR
Lentil Soup,⭐⭐⭐,Average,Double it next time,Main Dish,60,,Pinterest,,"Lentils,Vegetarian,Carrots,Onion",,http://www.recipetineats.com/lentil-soup/,8/27/2017,13/10/2017
Buckwheat Tabboulah,⭐,Super Simple,Use more buckwheat,Main Dish,30,,Pinterest,,"Buckwheat,Vegetarian,Carrots,Onion",,http://rawmanda.com/buckwheat-tabbouleh/,8/26/2017,7/11/2017
Lentil Rice Bowls with Egg,⭐⭐⭐⭐,Fairly Easy,Add rice in after 15 minutes and use more water,Main Dish,60,IMG_20170828_182603.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/NayRdrnse34KAWl02D4f8Q/WuzjD9LmurtyzkfDtkgfZP0PhvW87Dn8DZxCIkBopyj46fFDAh0I0vNZ2_LnW7sM/xRNnqmG4qmFzlXGYKdrOQYXrWL3oITLumGPsxdDGkS8),Pinterest,,"Rice,Lentils,Onion",,https://www.thekitchn.com/recipe-brown-rice-bowl-with-lentils-caramelized-onions-fried-egg-223112,1/5/2019,4/2/2019
Italian Vegetable Lentil Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,60,IMG_20170902_192742.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/oDXBuF_3o43z12ekdF8RFg/z6xrzoJlsNZPuSjiE86ibuEjzYFHCGV8NNbozOKr3BXs-Kd_yvjW-lEElcSzoAmX/pFxI2XlQ3FBZMVyKxbo-S4IHdEa0biPT7fZSSaGRLXg),Pinterest,,"Lentils,Onion,Vegetarian",,http://www.cookingclassy.com/italian-vegetable-lentil-soup/,6/26/2018,26/7/2018
